STNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Georgia,2010 Census,0-4,686785,350673,336112,202842,192241,118504,115654,2379,2213,11669,11104,562,539,14717,14361,216043,205199,128932,125963,4748,4502,15783,14950,1069,1035,295892,284482,157055,149306,114042,111263,665,616,11284,10739,239,199,12607,12359,168433,160479,123140,120332,2258,2142,14935,14169,607,580,54781,51630,45787,42935,4462,4391,1714,1597,385,365,323,340,2110,2002,47610,44720,5792,5631,2490,2360,848,781,462,455
Georgia,2010 Census,10-14,689684,352577,337107,205508,194118,123395,120104,2040,1848,11063,10732,417,397,10154,9908,214469,202793,130181,126897,4364,4047,13859,13398,796,760,313982,301015,173421,164205,120023,116799,742,738,10725,10430,216,207,8855,8636,181253,171770,126028,122809,2509,2423,13233,12814,521,515,38595,36092,32087,29913,3372,3305,1298,1110,338,302,201,190,1299,1272,33216,31023,4153,4088,1855,1624,626,584,275,245
Georgia,2010 Census,15-19,709999,362934,347065,207601,194265,133068,131900,2118,1743,11625,10412,485,380,8037,8365,214415,201315,138029,137252,4451,4076,13922,12792,891,794,325833,315361,176875,168407,129660,128616,830,768,11336,10131,255,195,6877,7244,182682,174504,133948,133282,2632,2618,13428,12281,588,541,37101,31704,30726,25858,3408,3284,1288,975,289,281,230,185,1160,1121,31733,26811,4081,3970,1819,1458,494,511,303,253
Georgia,2010 Census,20-24,680080,344477,335603,210474,195328,112452,119814,2394,1703,12215,11457,700,486,6242,6815,215682,200921,115784,123926,4461,3748,14276,13682,1053,853,298265,303257,171754,168869,108585,116366,704,780,11820,11182,328,274,5074,5786,175963,173589,111295,119875,2209,2344,13650,13180,603,578,46212,32346,38720,26459,3867,3448,1690,923,395,275,372,212,1168,1029,39719,27332,4489,4051,2252,1404,626,502,450,275
Georgia,2010 Census,25-29,673935,333831,340104,210980,200448,101396,116518,2516,1964,13040,14555,666,510,5233,6109,215298,205370,103966,120009,4512,4080,14768,16561,976,871,282373,301522,167271,168363,97559,112962,655,704,12634,14280,276,248,3978,4965,170494,172311,99512,115782,2002,2289,14162,16065,490,529,51458,38582,43709,32085,3837,3556,1861,1260,406,275,390,262,1255,1144,44804,33059,4454,4227,2510,1791,606,496,486,342
Georgia,2010 Census,30-34,661625,324379,337246,205283,196521,98223,117233,2420,1896,13322,15702,605,479,4526,5415,208937,200788,100433,120213,4230,3984,14819,17534,883,780,275847,298425,163803,163867,94752,113827,693,715,12949,15383,258,229,3392,4404,166469,167282,96348,116222,1948,2312,14249,17026,466,478,48532,38821,41480,32654,3471,3406,1727,1181,373,319,347,250,1134,1011,42468,33506,4085,3991,2282,1672,570,508,417,302
Georgia,2010 Census,35-39,698059,340454,357605,218606,212422,99527,120899,2156,1828,15630,17138,439,396,4096,4922,221839,216195,101363,123529,3998,3877,17012,18793,671,694,299838,324280,183549,184193,96745,118079,700,766,15325,16873,224,237,3295,4132,186100,187299,98183,120243,2106,2435,16585,18370,397,482,40616,33325,35057,28229,2782,2820,1456,1062,305,265,215,159,801,790,35739,28896,3180,3286,1892,1442,427,423,274,212
Georgia,2010 Census,40-44,699481,344098,355383,224623,217387,100153,117800,1913,1740,13528,14266,367,306,3514,3884,227405,220281,101648,119817,3720,3606,14548,15408,615,590,312304,329594,197252,195640,97882,115481,830,928,13298,14047,198,186,2844,3312,199455,198057,99038,117155,2280,2518,14205,15090,404,429,31794,25789,27371,21747,2271,2319,1083,812,230,219,169,120,670,572,27950,22224,2610,2662,1440,1088,343,318,211,161
Georgia,2010 Census,45-49,722661,353137,369524,235494,232199,101293,119565,1635,1486,11415,12376,271,229,3029,3669,237842,234986,102464,121292,3357,3515,12258,13316,487,468,330089,350217,215509,215933,99606,117721,946,997,11238,12215,166,147,2624,3204,217511,218332,100564,119183,2448,2791,12010,13070,352,352,23048,19307,19985,16266,1687,1844,689,489,177,161,105,82,405,465,20331,16654,1900,2109,909,724,248,246,135,116
Georgia,2010 Census,5-9,695161,353909,341252,208831,198308,118484,116304,2183,2119,12064,12256,484,509,11863,11756,219424,208775,126708,124426,4355,4320,15324,15521,899,969,306278,295767,168879,160371,114520,112491,704,642,11705,11919,234,229,10236,10115,178050,169405,121759,119647,2239,2210,14602,14803,557,573,47631,45485,39952,37937,3964,3813,1479,1477,359,337,250,280,1627,1641,41374,39370,4949,4779,2116,2110,722,718,342,396
Georgia,2010 Census,50-54,668591,324343,344248,220102,222613,90462,106493,1376,1346,9466,10589,235,207,2702,3000,222260,224903,91402,107794,3006,3265,10182,11254,408,377,308607,330632,206649,211159,89168,105192,903,1003,9351,10464,152,145,2384,2669,208542,213173,89942,106317,2361,2735,10009,11066,301,297,15736,13616,13453,11454,1294,1301,473,343,115,125,83,62,318,331,13718,11730,1460,1477,645,530,173,188,107,80
Georgia,2010 Census,55-59,573551,271779,301772,190226,200723,71122,88870,1021,978,7245,8615,148,163,2017,2423,191851,202562,71767,89861,2324,2559,7744,9182,262,298,261916,292713,181726,193094,70339,87953,763,802,7156,8536,118,127,1814,2201,183185,194763,70882,88822,1960,2264,7615,9051,209,244,9863,9059,8500,7629,783,917,258,176,89,79,30,36,203,222,8666,7799,885,1039,364,295,129,131,53,54
Georgia,2010 Census,60-64,496006,234550,261456,173328,184809,53245,67366,816,695,5455,6598,108,105,1598,1883,174620,186268,53783,68093,1904,2004,5794,6960,193,219,228284,255236,167962,179572,52723,66737,675,568,5384,6542,75,83,1465,1734,169150,180903,53193,67393,1678,1803,5708,6866,153,192,6266,6220,5366,5237,522,629,141,127,71,56,33,22,133,149,5470,5365,590,700,226,201,86,94,40,27
Georgia,2010 Census,65-69,356007,166350,189657,127239,138522,33690,44879,467,441,3845,4495,59,60,1050,1260,128096,139513,33997,45374,1208,1296,4053,4756,139,132,162648,185562,124028,135075,33379,44456,397,373,3813,4444,46,44,985,1170,124838,135995,33653,44902,1103,1181,4002,4681,116,108,3702,4095,3211,3447,311,423,70,68,32,51,13,16,65,90,3258,3518,344,472,105,115,51,75,23,24
Georgia,2010 Census,70-74,250422,112713,137709,87263,101964,21831,31781,265,260,2648,2859,31,33,675,812,87810,102594,22040,32095,715,796,2802,3043,78,82,110351,134817,85217,99504,21607,31479,235,225,2630,2834,23,26,639,749,85738,100087,21793,31756,667,727,2774,3002,65,64,2362,2892,2046,2460,224,302,30,35,18,25,8,7,36,63,2072,2507,247,339,48,69,28,41,13,18
Georgia,2010 Census,75-79,182735,77156,105579,61941,79975,13195,22895,128,189,1420,1885,27,11,445,624,62322,80491,13302,23098,423,626,1532,2016,59,46,75775,103641,60750,78307,13079,22707,101,164,1410,1861,23,10,412,592,61103,78795,13170,22894,381,585,1512,1986,46,42,1381,1938,1191,1668,116,188,27,25,10,24,4,1,33,32,1219,1696,132,204,42,41,20,30,13,4
Georgia,2010 Census,80-84,129048,48500,80548,39930,62500,7564,16471,71,133,680,1006,12,16,243,422,40137,62846,7623,16609,227,413,739,1098,31,49,47671,79242,39201,61403,7497,16319,58,115,675,1000,9,15,231,390,39398,61724,7554,16438,206,382,730,1085,26,44,829,1306,729,1097,67,152,13,18,5,6,3,1,12,32,739,1122,69,171,21,31,9,13,5,5
Georgia,2010 Census,85_plus,113823,33311,80512,27351,62966,5379,16398,40,79,385,699,4,8,152,362,27481,63239,5439,16577,133,304,418,753,16,44,32768,79480,26871,62093,5338,16284,34,64,381,691,3,6,141,342,26994,62349,5393,16449,121,282,411,740,11,39,543,1032,480,873,41,114,6,15,4,8,1,2,11,20,487,890,46,128,12,22,7,13,5,5
Georgia,2010 Census,Total,9687653,4729171,4958482,3057622,3087309,1402983,1590944,25938,22661,156715,166744,5620,4834,80293,85990,3125931,3159039,1448861,1642825,52136,51018,179833,191017,9526,9061,4268721,4565243,2667772,2759361,1366504,1554732,10635,10968,153114,163571,2843,2607,67853,74004,2725358,2820817,1405395,1599501,31108,34041,173820,185345,5912,6087,460450,393239,389850,327948,36479,36212,15303,11693,3601,3173,2777,2227,12440,11986,400573,338222,43466,43324,21028,16977,6013,5672,3614,2974
Georgia,2019 Estimate,0-4,656566,334896,321670,185504,177470,116498,112537,2056,2015,13455,12916,498,561,16885,16171,200708,192121,128437,124082,4702,4557,18234,17314,1075,1127,282658,271186,143537,136745,111196,107506,544,602,12674,12186,232,300,14475,13847,156647,149315,121625,117622,2316,2265,16906,16082,652,738,52238,50484,41967,40725,5302,5031,1512,1413,781,730,266,261,2410,2324,44061,42806,6812,6460,2386,2292,1328,1232,423,389
Georgia,2019 Estimate,10-14,727416,370338,357078,207482,197844,129504,126894,2378,2291,15170,14510,575,500,15229,15039,221112,211242,139968,137441,5076,4817,19646,18839,1153,1042,315080,304178,161536,154209,124723,122076,710,681,14783,14098,259,199,13069,12915,173270,165737,133781,131227,2625,2476,18769,17950,713,650,55258,52900,45946,43635,4781,4818,1668,1610,387,412,316,301,2160,2124,47842,45505,6187,6214,2451,2341,877,889,440,392
Georgia,2019 Estimate,15-19,732120,371833,360287,212245,200578,129104,129715,2358,2181,15211,15149,520,509,12395,12155,223156,211236,137290,137864,4936,4662,18871,18711,1087,1051,322705,313564,171556,161913,124740,125486,773,737,14780,14815,258,233,10598,10380,180879,171028,131780,132482,2660,2571,18110,18015,723,672,49128,46723,40689,38665,4364,4229,1585,1444,431,334,262,276,1797,1775,42277,40208,5510,5382,2276,2091,761,696,364,379
Georgia,2019 Estimate,20-24,717380,364423,352957,208355,194952,127633,130516,2336,1938,15367,14858,509,425,10223,10268,217291,203804,133946,137327,4761,4312,18556,17914,963,863,321223,313977,172674,162489,123778,126932,887,862,14876,14539,287,243,8721,8912,180311,170165,129193,132904,2705,2677,17761,17299,652,606,43200,38980,35681,32463,3855,3584,1449,1076,491,319,222,182,1502,1356,36980,33639,4753,4423,2056,1635,795,615,311,257
Georgia,2019 Estimate,25-29,771584,386644,384940,217293,207303,140237,147046,2352,2114,18096,18898,473,425,8193,9154,224185,214888,144805,152786,4851,4676,20814,21782,909,901,345023,348446,182677,177541,136467,143148,949,1037,17748,18573,273,253,6909,7894,188449,184047,140354,148111,2842,3066,20260,21209,607,639,41621,36494,34616,29762,3770,3898,1403,1077,348,325,200,172,1284,1260,35736,30841,4451,4675,2009,1610,554,573,302,262
Georgia,2019 Estimate,30-34,721677,354987,366690,208614,202914,118054,133389,2276,1711,19376,20775,581,501,6086,7400,213585,208909,121190,137691,4244,4015,21592,23368,961,894,312152,331639,173034,174284,113989,129491,753,817,19032,20433,280,270,5064,6344,177119,179385,116535,133152,2256,2646,21073,22833,593,610,42835,35051,35580,28630,4065,3898,1523,894,344,342,301,231,1022,1056,36466,29524,4655,4539,1988,1369,519,535,368,284
Georgia,2019 Estimate,35-39,709018,342876,366142,205607,202800,109290,132304,2197,1911,20098,21960,611,513,5073,6654,209736,208131,111786,136093,4076,4189,21878,24232,894,914,298259,327334,167945,170916,105574,128256,683,757,19734,21649,297,306,4026,5450,171174,175225,107494,131285,2060,2508,21349,23680,508,632,44617,38808,37662,31884,3716,4048,1514,1154,364,311,314,207,1047,1204,38562,32906,4292,4808,2016,1681,529,552,386,282
Georgia,2019 Estimate,40-44,671936,322933,349003,197552,195355,100279,124501,2151,1909,17832,21029,545,471,4574,5738,201282,199859,102529,127756,3977,4006,19313,22900,860,863,281101,311853,162053,164528,97092,120990,688,744,17511,20692,216,242,3541,4657,164885,168122,98763,123547,2029,2381,18816,22368,468,561,41832,37150,35499,30827,3187,3511,1463,1165,321,337,329,229,1033,1081,36397,31737,3766,4209,1948,1625,497,532,392,302
Georgia,2019 Estimate,45-49,712696,344386,368310,216762,215014,102655,126069,2014,1793,18224,19827,423,435,4308,5172,220179,219103,104619,128806,3928,3930,19610,21430,727,752,307892,335925,185664,188011,99955,123075,682,755,17957,19538,213,246,3421,4300,188315,191361,101422,125286,2148,2483,19190,20984,456,512,36494,32385,31098,27003,2700,2994,1332,1038,267,289,210,189,887,872,31864,27742,3197,3520,1780,1447,420,446,271,240
Georgia,2019 Estimate,5-9,685587,348924,336663,192616,183915,121695,119295,2107,2136,15107,14358,551,499,16848,16460,207818,198724,133511,130830,4827,4832,19826,19018,1155,1132,294759,284622,149364,142600,115767,113338,611,686,14316,13613,255,205,14446,14180,162450,155401,126054,123454,2487,2587,18488,17741,733,691,54165,52041,43252,41315,5928,5957,1496,1450,791,745,296,294,2402,2280,45368,43323,7457,7376,2340,2245,1338,1277,422,441
Georgia,2019 Estimate,50-54,686956,334205,352751,215140,212674,98868,119029,1766,1634,14608,15115,342,289,3481,4010,217942,215831,100257,120918,3551,3747,15636,16185,573,537,304818,327910,190062,191775,96493,116818,786,884,14419,14906,206,178,2852,3349,192336,194378,97547,118340,2249,2651,15334,15856,397,395,29387,24841,25078,20899,2375,2211,980,750,189,209,136,111,629,661,25606,21453,2710,2578,1302,1096,302,329,176,142
Georgia,2019 Estimate,55-59,691407,332248,359159,218939,222769,96432,117465,1563,1453,12055,13534,271,266,2988,3672,221357,225588,97474,119037,3251,3529,12897,14566,465,493,311581,340537,201304,207079,94648,115700,949,998,11903,13386,170,186,2607,3188,203412,209535,95492,116999,2446,2829,12673,14299,324,372,20667,18622,17635,15690,1784,1765,614,455,152,148,101,80,381,484,17945,16053,1982,2038,805,700,224,267,141,121
Georgia,2019 Estimate,60-64,616126,290080,326046,195628,208242,80562,101716,1324,1213,9817,11741,226,199,2523,2935,197657,210505,81465,102915,2839,3071,10480,12415,362,382,276035,312356,183606,196762,79388,100288,896,917,9745,11627,158,146,2242,2616,185415,198757,80140,101318,2240,2626,10379,12223,282,316,14045,13690,12022,11480,1174,1428,428,296,72,114,68,53,281,319,12242,11748,1325,1597,599,445,101,192,80,66
Georgia,2019 Estimate,65-69,511367,233277,278090,163041,182870,59999,82123,923,882,7316,9723,130,146,1868,2346,164550,184671,60614,83099,2154,2411,7733,10270,260,272,224432,269313,155398,175610,59274,81105,717,697,7276,9662,102,114,1665,2125,156749,177234,59773,81962,1843,2104,7646,10151,212,228,8845,8777,7643,7260,725,1018,206,185,40,61,28,32,203,221,7801,7437,841,1137,311,307,87,119,48,44
Georgia,2019 Estimate,70-74,414634,187674,226960,138767,159764,41168,58110,670,641,5501,6561,109,102,1459,1782,139937,161148,41650,58810,1645,1838,5824,6941,202,190,182226,220831,134144,154612,40664,57483,572,530,5436,6513,77,79,1333,1614,135222,155863,41059,58089,1494,1631,5724,6854,158,146,5448,6129,4623,5152,504,627,98,111,65,48,32,23,126,168,4715,5285,591,721,151,207,100,87,44,44
Georgia,2019 Estimate,75-79,273561,120360,153201,91934,111674,23472,35734,411,403,3605,4200,52,64,886,1126,92686,112613,23683,36097,1031,1222,3799,4413,111,125,117232,149196,89242,108211,23188,35384,349,336,3599,4170,41,48,813,1047,89932,109083,23369,35708,934,1115,3774,4368,81,101,3128,4005,2692,3463,284,350,62,67,6,30,11,16,73,79,2754,3530,314,389,97,107,25,45,30,24
Georgia,2019 Estimate,80-84,166323,68648,97675,53056,71723,12719,22508,222,255,2116,2471,30,27,505,691,53484,72288,12830,22731,559,706,2243,2624,69,78,66839,95134,51497,69553,12542,22239,191,218,2113,2464,22,22,474,638,51901,70077,12648,22423,506,652,2229,2610,54,69,1809,2541,1559,2170,177,269,31,37,3,7,8,5,31,53,1583,2211,182,308,53,54,14,14,15,9
Georgia,2019 Estimate,85_plus,151069,51692,99377,40978,74131,8746,22281,173,251,1397,1990,21,12,377,712,41301,74672,8879,22594,414,709,1479,2116,46,89,50153,96530,39638,71589,8619,22037,139,247,1393,1988,18,7,346,662,39938,72086,8737,22316,365,689,1468,2104,34,78,1539,2847,1340,2542,127,244,34,4,4,2,3,5,31,50,1363,2586,142,278,49,20,11,12,12,11
Georgia,2019 Estimate,Total,10617423,5160424,5456999,3169513,3221992,1616915,1841232,29277,26731,224351,239615,6467,5944,113901,121485,3267966,3325333,1684933,1916877,60822,61229,258431,275038,11872,11705,4614168,4954531,2714931,2808427,1568097,1791352,11879,12505,219295,234852,3364,3277,96602,104118,2798404,2896799,1625766,1856225,36205,39957,249949,266626,7647,8016,546256,502468,454582,413565,48818,49880,17398,14226,5056,4763,3103,2667,17299,17367,469562,428534,59167,60652,24617,21272,8482,8412,4225,3689
